variable,prior,inits,label
m_break,"Uniform(2, 10)",5,"m_break"
alpha_1,"Uniform(-5, 5)",-3.28,"alpha_1"
alpha_2,"Uniform(-5, 5)",-1.15,"alpha_2"
gamma_low,"Uniform(2, 4)",2.4,"gamma_low"
eta_low,"Uniform(0, 50)",10,"eta_low"
gamma_high,"Uniform(4, 8)",5.5,"gamma_high"
eta_high,"Uniform(0, 50)",10,"eta_high"
A,"Uniform(-1, 1)",0.9,"A"
m_min,"Uniform(1, 1.2)",1.1,"m_min"
eta_min,"Uniform(10, 50)",20,"eta_min"
m_max,"Uniform(35, 100)",70,"m_max"
eta_max,"Uniform(0, 10)",3,"eta_max"
mu_peak1,"Uniform(6, 12)",9,"mu_peak1"
sig_peak1,"Uniform(1, 40)",2,"sig_peak1"
peak_constant1,"Uniform(0, 500)",50,"peak_constant1"
mu_peak2,"Uniform(20, 60)",35,"mu_peak2"
sig_peak2,"Uniform(1, 40)",5,"sig_peak2"
peak_constant2,"Uniform(0, 500)",50,"peak_constant2"
model_min,1,nan,"model_min"
model_max,100,nan,"model_max"
