
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.06      0.58      0.10     -0.78      1.00   8282.78      1.00
         alpha_1[0]     -1.40      1.58     -1.19     -4.20      0.89   5039.93      1.00
         alpha_2[0]     -0.12      0.49     -0.13     -0.93      0.70   3510.20      1.00
          beta_1[0]      1.13      0.49      1.08      0.34      1.88   9007.52      1.00
          beta_2[0]      1.77      0.62      1.72      0.72      2.70   5368.09      1.00
        eta_high[0]     25.34     14.64     25.38      4.61     49.73  14853.28      1.00
         eta_low[0]     24.81     14.33     24.84      0.12     44.97  14890.74      1.00
         eta_max[0]      4.74      2.63      4.61      0.21      8.73  10121.27      1.00
         eta_min[0]     30.38     11.40     30.50     13.90     49.29  15809.17      1.00
      gamma_high[0]      6.03      1.17      6.03      4.41      8.00  10481.39      1.00
       gamma_low[0]      3.00      0.58      2.98      2.04      3.84  13987.58      1.00
           kappa[0]     -0.86      1.34     -0.83     -3.10      1.32   9784.23      1.00
         m_break[0]      4.92      2.32      4.28      2.00      8.56   7041.38      1.00
           m_max[0]     68.31     18.99     70.13     35.01     93.30   3174.96      1.00
           m_min[0]      1.10      0.06      1.10      1.00      1.18  15735.75      1.00
        mix_tilt[0]      0.59      0.26      0.61      0.23      1.00   9710.16      1.00
          mu_chi[0]      0.19      0.11      0.19      0.00      0.35  14711.69      1.00
        mu_peak1[0]      8.97      0.74      9.14      7.92     10.02   2365.36      1.00
        mu_peak2[0]     29.35      4.76     29.35     21.93     33.46   2423.48      1.00
      mu_peak_NS[0]      1.41      0.29      1.36      1.01      1.84   8573.02      1.00
  peak_constant1[0]    311.98    125.70    328.77    125.84    499.86   6126.14      1.00
  peak_constant2[0]    196.35    112.47    173.42     22.79    378.22   4620.58      1.00
peak_constant_NS[0]    396.73    286.28    343.58      0.02    830.44   9222.45      1.00
         sig_chi[0]      0.59      0.24      0.60      0.26      1.00  14134.63      1.00
       sig_peak1[0]      1.89      0.73      1.73      1.00      2.78   3440.27      1.00
       sig_peak2[0]     10.11      7.19      7.97      1.04     17.96   1394.08      1.00
     sig_peak_NS[0]      0.63      0.21      0.63      0.35      1.00   7212.00      1.00
        sig_tilt[0]      1.48      0.89      1.19      0.23      3.01   4021.89      1.00

Number of divergences: 0
