
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
             A[0]      1.00      0.00      1.00      1.00      1.00     28.26      1.05
       alpha_1[0]     -4.75      0.19     -4.80     -4.97     -4.50     16.73      1.02
       alpha_2[0]     -0.87      0.53     -0.76     -1.67     -0.07     13.47      1.02
        beta_1[0]     -3.35      0.62     -3.45     -4.24     -2.36      9.55      1.18
        beta_2[0]      2.52      0.80      2.52      1.20      3.84     37.69      1.08
      eta_high[0]     37.70      7.59     39.53     26.79     49.94     63.36      1.01
       eta_low[0]     38.71      7.98     40.19     27.20     49.58      8.84      1.32
       eta_max[0]      5.03      3.16      5.56      0.08      9.13     34.20      1.01
       eta_min[0]     31.06     11.86     31.55     13.37     49.90     41.16      1.00
    gamma_high[0]      7.68      0.34      7.81      7.26      8.00     16.48      1.24
     gamma_low[0]      2.03      0.04      2.02      2.00      2.07     43.58      1.00
         kappa[0]     -0.55      1.20     -0.54     -2.61      1.23     26.68      1.02
       m_break[0]      8.72      1.12      9.07      7.06     10.00     21.76      1.05
         m_max[0]     80.40     15.41     83.06     60.03     99.99     36.55      1.01
         m_min[0]      1.07      0.05      1.05      1.00      1.15     16.65      1.00
     mix_tilt1[0]      0.97      0.03      0.98      0.94      1.00     66.51      1.03
     mix_tilt2[0]      0.42      0.29      0.34      0.02      0.90     11.59      1.06
       mu_chi1[0]      0.52      0.00      0.52      0.51      0.52     87.86      1.02
       mu_chi2[0]      0.14      0.09      0.13      0.01      0.27     14.64      1.03
      mu_peak1[0]      6.76      0.67      6.60      6.02      7.62     28.99      1.06
      mu_peak2[0]     31.48      3.30     30.92     26.74     35.61     18.64      1.10
peak_constant1[0]    265.63    157.30    276.61     47.78    484.36     17.73      1.04
peak_constant2[0]    167.40    107.41    139.02     24.91    323.29     19.27      1.00
      sig_chi1[0]      0.02      0.00      0.02      0.02      0.02     64.96      1.02
      sig_chi2[0]      0.23      0.07      0.24      0.12      0.32     13.98      1.11
     sig_peak1[0]      5.96      5.92      4.14      1.94      8.35     11.72      1.12
     sig_peak2[0]      8.81      6.63      6.48      1.03     18.50      9.17      1.09
     sig_tilt1[0]      0.11      0.01      0.10      0.10      0.12     57.22      1.05
     sig_tilt2[0]      2.03      1.06      1.86      0.49      3.70     22.38      1.01

Number of divergences: 1000
