
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]     -0.06      0.59     -0.09     -0.98      0.76    455.88      1.00
         alpha_1[0]     -1.39      1.58     -1.24     -4.48      0.63     99.07      1.00
         alpha_2[0]     -0.34      0.43     -0.33     -1.08      0.29     55.22      1.00
          beta_1[0]      0.83      0.36      0.81      0.27      1.37    426.21      1.00
          beta_2[0]      2.01      0.66      1.99      1.00      3.06    180.52      1.01
        eta_high[0]     24.74     12.93     24.97      4.58     45.80    422.90      1.00
         eta_low[0]     26.77     14.25     27.57      5.95     48.76    216.59      1.00
         eta_max[0]      4.60      2.82      4.38      0.03      8.67    180.39      1.00
         eta_min[0]     31.51     11.75     32.20     14.06     49.17    319.80      1.00
      gamma_high[0]      6.03      1.11      6.03      4.13      7.56    300.25      1.00
       gamma_low[0]      3.00      0.58      3.05      2.06      3.85    296.97      1.00
           kappa[0]      1.37      1.16      1.46     -0.71      3.06    362.08      1.00
         m_break[0]      4.87      2.17      4.25      2.00      8.19    241.04      1.00
           m_max[0]     73.78     17.06     75.35     47.53     99.74    109.84      1.01
           m_min[0]      1.09      0.05      1.08      1.00      1.17    229.62      1.00
        mix_tilt[0]      0.59      0.22      0.57      0.27      0.96    210.86      1.03
          mu_chi[0]      0.17      0.10      0.16      0.01      0.33    242.89      1.01
        mu_peak1[0]      9.26      0.34      9.30      8.81      9.84    262.95      1.00
        mu_peak2[0]     29.65      1.90     29.91     26.34     32.32     52.60      1.05
      mu_peak_NS[0]      1.43      0.31      1.37      1.01      1.92    146.50      1.00
  peak_constant1[0]    324.39    119.00    336.41    135.62    493.13    156.40      1.01
  peak_constant2[0]    221.40    101.70    207.25     56.76    374.61     94.63      1.01
peak_constant_NS[0]    368.24    287.19    296.84      3.69    822.03    179.66      1.01
         sig_chi[0]      0.55      0.27      0.56      0.13      0.94    300.48      1.00
       sig_peak1[0]      1.40      0.35      1.31      1.00      1.83    230.83      1.00
       sig_peak2[0]      7.28      2.25      6.90      3.86     10.97    102.00      1.03
     sig_peak_NS[0]      0.67      0.17      0.66      0.44      0.97    273.96      1.00
        sig_tilt[0]      0.85      0.70      0.67      0.11      1.39     61.13      1.05

Number of divergences: 0
