
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.03      0.58      0.04     -0.80      0.96   9121.82      1.00
         alpha_1[0]     -1.69      1.54     -1.56     -4.42      0.47   5222.01      1.00
         alpha_2[0]     -0.14      0.44     -0.14     -0.85      0.58   4388.83      1.00
          beta_1[0]      1.12      0.50      1.08      0.30      1.89   9132.29      1.00
          beta_2[0]      2.44      0.79      2.36      1.26      3.79   4527.34      1.00
        eta_high[0]     25.01     14.52     25.01      2.43     47.25  16658.69      1.00
         eta_low[0]     24.95     14.49     25.01      0.00     44.91  18161.72      1.00
         eta_max[0]      4.40      2.66      4.10      0.01      8.40  11807.98      1.00
         eta_min[0]     30.50     11.41     30.88     14.39     49.85  18173.21      1.00
      gamma_high[0]      6.01      1.17      6.02      4.38      7.99  11601.46      1.00
       gamma_low[0]      3.00      0.58      2.99      2.00      3.79  16844.06      1.00
           kappa[0]     -0.75      1.35     -0.74     -3.00      1.44  13395.75      1.00
         m_break[0]      4.83      2.26      4.20      2.00      8.44   9127.42      1.00
           m_max[0]     70.32     18.88     72.83     41.42     99.99   4254.86      1.00
           m_min[0]      1.10      0.06      1.10      1.00      1.18  17761.01      1.00
        mix_tilt[0]      0.62      0.26      0.67      0.22      1.00   7996.39      1.00
          mu_chi[0]      0.16      0.12      0.14      0.00      0.33   8620.79      1.00
        mu_peak1[0]      9.03      0.60      9.15      8.24      9.87   1970.01      1.00
        mu_peak2[0]     27.87      4.44     28.06     20.98     31.93   2282.15      1.00
      mu_peak_NS[0]      1.40      0.28      1.35      1.01      1.80   8764.32      1.00
  peak_constant1[0]    310.29    123.38    323.29    130.13    499.96   6200.55      1.00
  peak_constant2[0]    241.38    114.98    226.98     61.02    439.27   5128.63      1.00
peak_constant_NS[0]    413.29    285.25    371.52      0.04    844.06  10145.15      1.00
         sig_chi[0]      0.37      0.16      0.33      0.15      0.62   3833.15      1.00
       sig_peak1[0]      1.63      0.63      1.47      1.00      2.35   2696.60      1.00
       sig_peak2[0]     10.79      5.97      9.53      3.82     17.07   1612.07      1.00
     sig_peak_NS[0]      0.62      0.20      0.62      0.34      1.00   7124.51      1.00
        sig_tilt[0]      1.04      1.11      0.44      0.10      3.01   5602.26      1.00

Number of divergences: 0
