
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]     -0.04      0.57     -0.03     -0.95      0.81    198.09      1.00
         alpha_1[0]     -1.64      1.57     -1.55     -4.35      0.36    185.03      1.00
         alpha_2[0]     -0.14      0.37     -0.11     -0.64      0.61    116.96      1.00
          beta_1[0]      1.03      0.48      1.03      0.40      1.91    192.51      1.00
          beta_2[0]      2.43      0.83      2.40      1.00      3.70     41.40      1.00
        beta_gap[0]      0.22      3.05      0.20     -4.65      4.33    152.81      1.01
        eta_high[0]     23.75     13.46     23.08      3.58     44.45    176.43      0.99
         eta_low[0]     24.81     15.92     25.66      2.85     48.86    127.09      1.00
         eta_max[0]      4.56      2.68      4.27      0.84      9.32    150.62      0.99
         eta_min[0]     30.13     11.52     30.61     13.01     49.26    135.09      1.00
      gamma_high[0]      5.82      1.15      5.69      4.13      7.61    103.62      1.00
       gamma_low[0]      3.02      0.56      3.00      2.08      3.76    135.55      1.00
           kappa[0]     -0.49      1.18     -0.58     -2.46      1.32    153.07      1.01
         m_break[0]      4.66      2.00      4.22      2.19      7.79    107.97      1.00
           m_max[0]     73.02     18.67     76.04     43.20     99.90     62.68      1.00
           m_min[0]      1.10      0.05      1.10      1.03      1.20    127.54      1.00
        mix_tilt[0]      0.67      0.23      0.71      0.32      0.99    128.66      1.01
          mu_chi[0]      0.17      0.12      0.15      0.01      0.35     99.91      1.01
        mu_peak1[0]      9.05      0.56      9.15      8.18      9.69    118.81      1.01
        mu_peak2[0]     27.53      3.35     27.92     22.31     32.05    101.94      1.01
      mu_peak_NS[0]      1.40      0.29      1.36      1.01      1.80    169.34      1.00
  peak_constant1[0]    320.08    117.75    319.27    154.57    495.41    192.72      1.00
  peak_constant2[0]    239.74    113.41    224.26     53.78    418.90     98.72      1.00
peak_constant_NS[0]    446.55    305.69    416.59      2.81    893.95    219.40      1.00
         sig_chi[0]      0.39      0.17      0.34      0.17      0.66     45.35      1.10
       sig_peak1[0]      1.66      0.55      1.54      1.01      2.31    120.44      1.01
       sig_peak2[0]     10.39      6.49      8.95      3.80     15.06     24.15      1.02
     sig_peak_NS[0]      0.59      0.17      0.59      0.31      0.89    145.91      1.02
        sig_tilt[0]      0.83      0.92      0.39      0.11      2.48     74.78      1.01

Number of divergences: 0
