
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]     -0.04      0.58     -0.05     -0.86      0.83     69.52      1.02
         alpha_1[0]     -1.49      1.48     -1.19     -3.62      0.55     43.22      1.05
         alpha_2[0]     -0.17      0.47     -0.18     -0.91      0.76     74.57      0.99
          beta_1[0]      1.09      0.44      1.12      0.57      1.91    127.44      1.01
          beta_2[0]      2.69      1.35      2.25      1.22      4.99      6.13      1.01
        eta_high[0]     25.51     14.68     26.05      4.80     49.17    322.70      0.99
         eta_low[0]     25.39     13.72     25.69      6.63     48.21    371.31      0.99
         eta_max[0]      4.59      2.71      4.51      0.17      8.72     71.10      1.02
         eta_min[0]     31.30     11.11     31.59     14.80     49.64     56.21      1.00
      gamma_high[0]      6.16      1.05      6.10      4.40      7.79    128.62      0.99
       gamma_low[0]      2.99      0.60      2.97      2.01      3.83    120.96      1.00
           kappa[0]     -0.40      1.22     -0.34     -2.44      1.59     74.11      1.00
         m_break[0]      4.88      2.40      4.09      2.01      8.33     51.83      1.03
           m_max[0]     70.75     20.41     69.25     42.63     99.81    131.41      0.99
           m_min[0]      1.10      0.06      1.11      1.02      1.19     56.59      0.99
        mix_tilt[0]      0.55      0.24      0.56      0.18      0.90     97.23      0.99
          mu_chi[0]      0.15      0.11      0.14      0.01      0.33     72.30      0.99
        mu_peak1[0]      8.92      0.88      9.18      7.18      9.69     27.51      1.05
        mu_peak2[0]     28.13      3.24     29.12     22.59     32.53     18.18      1.03
      mu_peak_NS[0]      1.36      0.28      1.29      1.03      1.80     62.98      0.99
  peak_constant1[0]    331.60    112.49    349.47    170.69    496.08    129.41      0.99
  peak_constant2[0]    233.82    111.44    230.78     55.43    393.42     27.59      1.00
peak_constant_NS[0]    376.89    230.76    335.05     14.12    753.51    144.75      0.99
         sig_chi[0]      0.55      0.30      0.52      0.17      0.99    131.95      1.01
       sig_peak1[0]      1.71      0.82      1.41      1.01      2.92     29.00      1.01
       sig_peak2[0]      9.70      4.05      8.99      4.28     15.73     12.24      1.02
     sig_peak_NS[0]      0.67      0.20      0.66      0.40      0.97    106.45      1.04
        sig_tilt[0]      0.98      0.79      0.81      0.10      2.15     40.07      0.99

Number of divergences: 0
