
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.02      0.58      0.05     -0.86      0.92   6950.40      1.00
         alpha_1[0]     -1.40      1.57     -1.22     -4.15      0.95   4434.80      1.00
         alpha_2[0]     -0.14      0.46     -0.13     -0.90      0.57   2999.55      1.00
          beta_1[0]      1.17      0.53      1.11      0.34      1.99   4453.43      1.00
          beta_2[0]      2.41      0.79      2.33      1.13      3.67   4245.89      1.00
        eta_high[0]     25.08     14.39     25.10      1.18     45.87  15338.48      1.00
         eta_low[0]     24.91     14.45     25.05      0.60     45.36  18783.12      1.00
         eta_max[0]      4.40      2.65      4.19      0.00      8.32  10931.41      1.00
         eta_min[0]     30.47     11.40     30.61     13.76     49.18  14765.21      1.00
      gamma_high[0]      6.00      1.17      5.99      4.38      7.98  11251.03      1.00
       gamma_low[0]      3.00      0.57      3.01      2.20      3.98  16646.58      1.00
           kappa[0]     -0.84      1.36     -0.81     -3.08      1.35  10601.27      1.00
         m_break[0]      4.87      2.32      4.23      2.00      8.57   7750.43      1.00
           m_max[0]     69.63     19.05     72.30     35.00     94.10   3718.76      1.00
           m_min[0]      1.10      0.06      1.10      1.01      1.19  17558.01      1.00
       mix_tilt1[0]      0.52      0.29      0.54      0.10      0.99  18510.16      1.00
       mix_tilt2[0]      0.52      0.29      0.54      0.12      1.00  11246.50      1.00
         mu_chi1[0]      0.19      0.11      0.19      0.00      0.35  15457.82      1.00
         mu_chi2[0]      0.12      0.10      0.11      0.00      0.25   5449.96      1.00
        mu_peak1[0]      9.02      0.62      9.14      8.23      9.92   1558.73      1.00
        mu_peak2[0]     28.17      4.42     28.32     21.21     32.30   2655.21      1.00
      mu_peak_NS[0]      1.41      0.29      1.35      1.01      1.83   7315.02      1.00
  peak_constant1[0]    310.89    123.53    325.72    129.48    499.85   5370.85      1.00
  peak_constant2[0]    236.96    114.35    222.57     52.93    429.13   5086.50      1.00
peak_constant_NS[0]    393.49    285.05    340.55      0.04    830.85  11487.41      1.00
        sig_chi1[0]      1.00      0.57      1.01      0.05      1.80  15771.83      1.00
        sig_chi2[0]      0.31      0.18      0.29      0.15      0.43   1081.48      1.00
       sig_peak1[0]      1.68      1.23      1.48      1.00      2.41   1008.30      1.00
       sig_peak2[0]     10.91      6.47      9.34      2.90     17.32   1499.84      1.00
     sig_peak_NS[0]      0.64      0.21      0.64      0.36      1.00   7970.79      1.00
       sig_tilt1[0]      1.86      1.19      1.81      0.10      3.55  16659.84      1.00
       sig_tilt2[0]      1.80      1.19      1.66      0.10      3.53   9094.27      1.00

Number of divergences: 0
