
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.03      0.54      0.05     -0.81      0.78    149.68      0.99
         alpha_1[0]     -1.17      1.89     -1.05     -4.77      0.53     29.60      1.07
         alpha_2[0]     -0.13      0.43     -0.13     -0.88      0.49     54.62      1.00
          beta_1[0]      1.10      0.40      1.10      0.27      1.62    220.55      1.01
          beta_2[0]      1.80      0.60      1.82      0.79      2.50     71.80      0.99
        eta_high[0]     25.45     14.27     25.69      5.99     49.36    149.82      1.00
         eta_low[0]     25.52     13.51     26.60      7.64     47.94    232.28      1.00
         eta_max[0]      4.67      2.69      4.27      1.47      9.73     92.58      1.00
         eta_min[0]     31.34     12.00     31.73     14.22     49.60     59.46      1.01
      gamma_high[0]      6.20      1.10      6.10      4.66      7.87    111.59      1.00
       gamma_low[0]      2.99      0.61      3.03      2.03      3.83    166.32      1.00
           kappa[0]     -0.84      1.44     -0.84     -2.96      1.68     78.13      0.99
         m_break[0]      4.84      2.50      4.20      2.00      8.91     94.22      0.99
           m_max[0]     69.78     17.52     70.47     41.34     96.12     75.00      0.99
           m_min[0]      1.10      0.06      1.10      1.01      1.19    804.13      0.99
        mix_tilt[0]      0.56      0.26      0.54      0.16      0.96    230.02      0.99
          mu_chi[0]      0.20      0.13      0.20      0.04      0.39    164.03      1.00
        mu_peak1[0]      8.83      0.87      9.07      7.27      9.98     48.92      1.00
        mu_peak2[0]     28.62      2.81     29.55     24.22     33.61     30.43      1.01
      mu_peak_NS[0]      1.37      0.25      1.36      1.06      1.78     39.14      1.00
  peak_constant1[0]    327.74    104.23    335.43    141.90    459.35    141.65      1.00
  peak_constant2[0]    189.50    101.47    168.10     23.50    349.77     83.02      1.00
peak_constant_NS[0]    440.57    251.63    458.10     28.23    751.09    105.94      1.00
         sig_chi[0]      0.61      0.28      0.62      0.23      0.98    161.86      1.01
       sig_peak1[0]      1.96      0.71      1.80      1.09      3.26     39.85      1.00
       sig_peak2[0]      8.64      4.64      7.20      3.15     15.62     52.15      0.99
     sig_peak_NS[0]      0.65      0.24      0.65      0.32      1.00    155.86      1.01
        sig_tilt[0]      1.40      0.87      1.17      0.33      2.77     64.54      1.01

Number of divergences: 0
