
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.01      0.57      0.03     -0.87      0.90   7325.64      1.00
         alpha_1[0]     -1.44      1.63     -1.26     -4.43      0.82   4010.04      1.00
         alpha_2[0]     -0.22      0.49     -0.22     -1.03      0.58   2405.42      1.00
          beta_1[0]      1.11      0.48      1.07      0.33      1.86   8531.90      1.00
          beta_2[0]      2.17      0.76      2.11      0.96      3.38   5402.08      1.00
        eta_high[0]     25.16     14.52     25.37      4.28     49.36  13391.29      1.00
         eta_low[0]     24.75     14.28     24.59      0.79     45.30  14072.63      1.00
         eta_max[0]      4.57      2.72      4.39      0.00      8.57   8596.97      1.00
         eta_min[0]     30.52     11.34     30.87     14.64     49.99  14261.27      1.00
      gamma_high[0]      6.02      1.17      6.01      4.40      8.00   9992.97      1.00
       gamma_low[0]      3.00      0.58      2.99      2.19      3.98  14212.82      1.00
           kappa[0]     -0.31      1.30     -0.28     -2.46      1.83  12010.37      1.00
         m_break[0]      4.89      2.34      4.27      2.00      8.58   7696.37      1.00
           m_max[0]     70.35     18.84     72.88     41.09     99.89   4060.08      1.00
           m_min[0]      1.10      0.06      1.09      1.00      1.17  14831.97      1.00
        mix_tilt[0]      0.60      0.24      0.60      0.28      1.00   9892.13      1.00
          mu_chi[0]      0.16      0.11      0.14      0.00      0.33  10683.51      1.00
        mu_peak1[0]      9.09      0.59      9.19      8.32      9.91   2040.76      1.00
        mu_peak2[0]     29.06      4.11     29.21     22.74     33.02   2684.86      1.00
      mu_peak_NS[0]      1.41      0.30      1.35      1.01      1.86   7849.57      1.00
  peak_constant1[0]    312.28    126.05    329.08    128.39    499.94   5175.00      1.00
  peak_constant2[0]    223.23    113.43    206.90     34.65    405.19   5102.38      1.00
peak_constant_NS[0]    378.29    285.42    319.86      0.07    825.15   9240.84      1.00
         sig_chi[0]      0.54      0.26      0.53      0.15      0.96  10411.23      1.00
       sig_peak1[0]      1.70      1.86      1.44      1.00      2.29    561.24      1.00
       sig_peak2[0]      9.65      5.89      8.23      3.27     15.77   1420.42      1.00
     sig_peak_NS[0]      0.65      0.20      0.66      0.38      1.00   6717.49      1.00
        sig_tilt[0]      0.97      0.71      0.78      0.10      1.86   4356.85      1.00

Number of divergences: 0
