
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.01      0.67      0.03     -0.94      0.90     62.72      0.99
         alpha_1[0]     -0.87      1.52     -0.98     -3.29      1.05     19.78      0.98
         alpha_2[0]     -0.33      0.62     -0.14     -1.62      0.32     13.45      1.03
          beta_1[0]      1.02      0.36      0.98      0.51      1.68     53.22      0.99
          beta_2[0]      2.25      0.76      2.08      1.03      3.32    155.27      0.98
        eta_high[0]     25.56     15.20     25.26      0.44     45.25     91.47      0.98
         eta_low[0]     28.85     13.66     31.17      9.73     49.32     54.83      0.98
         eta_max[0]      4.63      2.56      4.87      0.37      8.12     49.02      1.03
         eta_min[0]     29.48     11.85     28.18     11.41     46.94    163.75      0.98
      gamma_high[0]      6.09      1.04      6.16      4.31      7.46     45.83      0.98
       gamma_low[0]      2.97      0.52      2.97      2.02      3.73     69.58      0.98
           kappa[0]     -0.25      1.04     -0.17     -1.60      1.43     34.57      1.00
         m_break[0]      5.40      2.33      5.09      2.12      8.63     16.88      1.09
           m_max[0]     68.75     18.43     70.36     35.74     92.57     25.08      1.09
           m_min[0]      1.09      0.05      1.07      1.01      1.17     52.56      0.99
       mix_tilt1[0]      0.52      0.34      0.50      0.02      0.96     83.20      1.01
       mix_tilt2[0]      0.60      0.28      0.62      0.10      1.00     48.79      1.00
         mu_chi1[0]      0.16      0.12      0.15      0.00      0.35     94.94      0.98
         mu_chi2[0]      0.09      0.06      0.07      0.00      0.18     39.06      0.99
        mu_peak1[0]      9.06      0.74      9.20      7.65      9.80     57.30      0.98
        mu_peak2[0]     28.71      3.29     29.43     22.23     32.23     30.95      1.00
      mu_peak_NS[0]      1.34      0.25      1.25      1.05      1.82     46.55      0.99
  peak_constant1[0]    304.41    147.54    362.61     64.20    491.87     26.63      0.98
  peak_constant2[0]    196.89     93.45    191.50     18.56    306.51     34.47      1.04
peak_constant_NS[0]    374.80    249.41    327.76     39.72    852.58     27.94      1.03
        sig_chi1[0]      0.93      0.65      0.84      0.05      1.88     53.43      1.03
        sig_chi2[0]      0.26      0.06      0.25      0.17      0.34     61.02      0.98
       sig_peak1[0]      3.26      6.75      1.54      1.09      2.96     17.44      1.04
       sig_peak2[0]      9.19      6.65      7.30      1.76     14.28     32.60      1.13
     sig_peak_NS[0]      0.61      0.23      0.56      0.27      0.95     42.27      0.98
       sig_tilt1[0]      2.01      1.13      1.98      0.13      3.60     31.24      1.06
       sig_tilt2[0]      1.63      0.88      1.62      0.34      2.95     46.97      0.98

Number of divergences: 0
