
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
         A[0]      0.87      0.11      0.91      0.73      1.00    717.79      1.00
   alpha_1[0]     -1.81      0.79     -1.74     -3.19     -0.71    373.97      1.00
   alpha_2[0]     -1.69      0.22     -1.69     -2.07     -1.34    618.81      1.00
 alpha_chi[0]      1.23      0.21      1.17      1.00      1.51   1171.78      1.00
    beta_1[0]      0.94      0.40      0.92      0.33      1.63    810.69      1.00
    beta_2[0]      2.95      0.82      2.88      1.56      4.26    562.80      1.00
  beta_chi[0]      3.68      0.72      3.72      2.63      4.86    785.45      1.00
  eta_high[0]     30.39     11.84     30.30     13.97     49.80    761.66      1.00
   eta_low[0]     26.49     12.95     25.98      6.10     46.17    701.12      1.00
   eta_max[0]      5.54      1.70      5.41      2.74      8.28    703.89      1.00
   eta_min[0]     29.70     11.93     29.88     12.85     49.09    928.74      1.00
gamma_high[0]      6.37      0.75      6.41      5.22      7.68    792.57      1.00
 gamma_low[0]      2.49      0.38      2.41      2.00      3.03    742.86      1.00
     kappa[0]      1.70      1.27      1.73     -0.40      3.72    809.68      1.00
   m_break[0]      4.94      2.38      4.39      2.01      8.70    657.04      1.00
     m_max[0]     58.46     10.38     57.21     42.97     74.00    513.98      1.00
     m_min[0]      0.86      0.21      0.87      0.57      1.20    912.09      1.00
  mix_tilt[0]      0.44      0.29      0.40      0.00      0.87   1047.17      1.00
  sig_tilt[0]      2.34      1.11      2.49      0.73      4.00    736.11      1.00

Number of divergences: 0
