
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.02      0.62     -0.01     -0.89      0.94    245.22      1.00
         alpha_1[0]     -1.87      1.66     -1.52     -4.81      0.11     60.69      1.01
         alpha_2[0]     -0.28      0.52     -0.21     -1.16      0.40     52.42      1.00
          beta_1[0]     -1.62      0.47     -1.61     -2.38     -0.92    235.64      1.00
          beta_2[0]     -0.09      2.78     -0.04     -3.97      4.53    162.28      0.99
        beta_gap[0]     -0.15      3.07      0.01     -4.95      4.10    257.33      1.00
      delta_beta[0]      4.59      2.85      4.50      0.62      9.30    144.77      1.00
        eta_high[0]     25.99     14.68     24.98      5.70     49.98    257.07      1.00
         eta_low[0]     25.10     13.80     25.05      5.78     48.99    484.24      1.00
         eta_max[0]      4.60      2.97      4.28      0.49      9.29    234.90      1.01
         eta_min[0]     29.97     12.41     31.65     10.31     46.69    110.01      1.00
      gamma_high[0]      5.98      1.17      5.93      4.12      7.66    131.54      1.00
       gamma_low[0]      3.05      0.56      3.02      2.14      3.84    284.42      1.00
           kappa[0]     -0.66      1.34     -0.61     -3.11      1.25    503.55      1.00
         m_break[0]      4.94      2.28      4.33      2.01      8.74     82.36      1.02
           m_max[0]     72.05     17.63     74.50     42.43     95.76    116.87      1.02
           m_min[0]      1.11      0.05      1.11      1.02      1.20    293.73      1.00
        mix_tilt[0]      0.61      0.26      0.63      0.19      1.00    183.35      1.00
          mu_chi[0]      0.16      0.13      0.13      0.00      0.36    230.86      1.00
        mu_peak1[0]      9.10      0.69      9.21      8.25     10.18    172.86      1.00
        mu_peak2[0]     29.74      4.69     29.58     24.36     32.66     48.13      1.05
      mu_peak_NS[0]      1.42      0.30      1.35      1.01      1.88    141.48      1.01
  peak_constant1[0]    305.81    129.81    312.88    121.58    499.50     90.67      1.00
  peak_constant2[0]    215.70    110.15    201.82     34.31    386.51    159.54      1.00
peak_constant_NS[0]    429.85    317.72    377.17      1.52    919.39    319.84      1.00
         sig_chi[0]      0.34      0.13      0.32      0.14      0.50    178.90      1.00
       sig_peak1[0]      2.68      4.73      1.64      1.01      2.68     25.12      1.04
       sig_peak2[0]      8.42      4.68      7.11      3.21     14.16     78.56      1.01
     sig_peak_NS[0]      0.65      0.18      0.67      0.37      0.95    149.77      1.00
        sig_tilt[0]      1.13      1.12      0.55      0.11      3.17    144.77      1.00

Number of divergences: 0
