
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
             A[0]      0.14      0.57      0.20     -0.72      1.00   4032.72      1.00
       alpha_1[0]     -3.99      0.66     -4.07     -5.00     -3.12   1864.12      1.00
       alpha_2[0]     -0.30      0.53     -0.28     -1.19      0.51   1087.70      1.00
        beta_1[0]      1.29      2.20      1.41     -1.78      4.99   4132.76      1.00
        beta_2[0]      2.27      0.77      2.18      1.01      3.47   2103.46      1.00
      beta_gap[0]      1.04      0.49      1.02      0.26      1.85   3516.86      1.00
      eta_high[0]     25.06     14.28     24.99      4.65     49.04   7297.89      1.00
       eta_low[0]     24.84     14.45     24.74      0.52     45.41   4845.12      1.00
       eta_max[0]      4.48      2.75      4.28      0.00      8.52   3695.43      1.00
       eta_min[0]     30.51     11.67     30.66     13.89     49.77   6584.23      1.00
    gamma_high[0]      6.04      1.20      6.04      4.34      7.96   4572.10      1.00
     gamma_low[0]      2.99      0.56      2.97      2.09      3.86   5727.71      1.00
         kappa[0]      0.53      1.35      0.56     -1.62      2.81   3658.67      1.00
       m_break[0]      6.50      1.71      6.50      3.96      9.71   2292.84      1.00
         m_max[0]     70.95     18.69     73.59     41.56     99.99   1076.87      1.00
         m_min[0]      1.10      0.06      1.10      1.02      1.20   6186.96      1.00
     mix_tilt1[0]      0.51      0.28      0.52      0.09      0.98   5440.46      1.00
     mix_tilt2[0]      0.59      0.26      0.61      0.22      1.00   4528.70      1.00
       mu_chi1[0]      0.18      0.12      0.17      0.00      0.36   4277.58      1.00
       mu_chi2[0]      0.10      0.07      0.09      0.00      0.20   3354.33      1.00
      mu_peak1[0]      9.28      0.54      9.35      8.56      9.96   1160.33      1.00
      mu_peak2[0]     29.33      4.24     29.43     22.79     33.47    938.35      1.00
peak_constant1[0]    267.79    135.07    267.32     70.88    487.31   2122.55      1.00
peak_constant2[0]    215.33    113.69    197.28     36.02    401.61   1647.67      1.00
      sig_chi1[0]      0.99      0.59      0.98      0.05      1.80   4950.20      1.00
      sig_chi2[0]      0.24      0.06      0.23      0.13      0.34   3493.86      1.00
     sig_peak1[0]      1.60      2.35      1.28      1.00      1.93    519.80      1.01
     sig_peak2[0]      9.76      6.20      8.14      2.52     15.92    380.35      1.00
     sig_tilt1[0]      1.84      1.15      1.71      0.10      3.53   5284.00      1.00
     sig_tilt2[0]      1.35      0.90      1.05      0.10      2.85   2023.60      1.00

Number of divergences: 0
