
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
             A[0]      0.11      0.57      0.19     -0.74      0.99   3443.83      1.00
       alpha_1[0]     -4.01      0.61     -4.06     -5.00     -3.19   2412.50      1.00
       alpha_2[0]     -0.30      0.53     -0.28     -1.22      0.52   1251.71      1.00
        beta_1[0]      1.08      0.51      1.03      0.23      1.84   3798.31      1.00
        beta_2[0]      2.26      0.77      2.17      1.00      3.47   2271.55      1.00
    delta_beta[0]    498.41    289.85    505.88      7.22    897.41   6731.94      1.00
      eta_high[0]     25.22     14.35     25.41      5.28     49.97   6343.59      1.00
       eta_low[0]     24.47     14.56     24.32      0.16     45.17   4946.95      1.00
       eta_max[0]      4.48      2.73      4.31      0.03      8.52   3535.65      1.00
       eta_min[0]     30.43     11.61     30.50     13.62     49.40   5819.04      1.00
    gamma_high[0]      6.01      1.19      6.00      4.35      7.96   3830.70      1.00
     gamma_low[0]      3.01      0.57      3.00      2.18      3.96   5676.16      1.00
         kappa[0]      0.54      1.32      0.56     -1.55      2.77   3682.61      1.00
       m_break[0]      6.56      1.70      6.55      4.22      9.89   1891.88      1.00
         m_max[0]     70.68     18.96     73.72     41.28     99.96   1474.77      1.00
         m_min[0]      1.10      0.06      1.10      1.02      1.20   5671.24      1.00
     mix_tilt1[0]      0.51      0.28      0.52      0.11      1.00   5716.74      1.00
     mix_tilt2[0]      0.60      0.26      0.61      0.23      1.00   4771.74      1.00
       mu_chi1[0]      0.18      0.12      0.17      0.00      0.35   4835.49      1.00
       mu_chi2[0]      0.10      0.07      0.09      0.00      0.20   3264.10      1.00
      mu_peak1[0]      9.29      0.51      9.36      8.63     10.00    781.42      1.00
      mu_peak2[0]     29.26      3.96     29.50     22.68     33.56   1292.26      1.00
peak_constant1[0]    266.29    135.96    262.53     79.88    497.25   2026.50      1.00
peak_constant2[0]    213.81    114.55    195.29     32.53    398.39   2022.54      1.00
      sig_chi1[0]      0.99      0.59      0.99      0.05      1.80   5469.20      1.00
      sig_chi2[0]      0.24      0.07      0.23      0.13      0.34   3204.73      1.00
     sig_peak1[0]      1.50      1.65      1.28      1.00      1.91    357.15      1.00
     sig_peak2[0]      9.69      6.15      8.00      3.10     16.19    717.26      1.00
     sig_tilt1[0]      1.85      1.15      1.72      0.10      3.53   4595.30      1.00
     sig_tilt2[0]      1.34      0.91      1.06      0.12      2.87   1976.24      1.00

Number of divergences: 0
