
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
             A[0]      0.09      0.56      0.14     -0.75      0.98   3890.19      1.00
       alpha_1[0]     -4.05      0.59     -4.09     -5.00     -3.27   3618.11      1.00
       alpha_2[0]     -0.30      0.50     -0.29     -1.19      0.45   1275.74      1.00
        beta_1[0]      1.06      0.48      1.02      0.29      1.84   5483.24      1.00
        beta_2[0]      2.24      0.76      2.15      0.93      3.37   1741.17      1.00
      eta_high[0]     25.31     14.50     25.27      4.67     49.36   6057.02      1.00
       eta_low[0]     25.04     14.43     25.31      2.49     47.38   7869.13      1.00
       eta_max[0]      4.50      2.74      4.29      0.03      8.55   4436.18      1.00
       eta_min[0]     30.56     11.60     30.77     13.66     49.39   9030.53      1.00
    gamma_high[0]      6.01      1.17      6.01      4.38      7.97   5750.58      1.00
     gamma_low[0]      3.02      0.57      3.03      2.22      3.99   7200.00      1.00
         kappa[0]      0.55      1.28      0.57     -1.43      2.75   5348.06      1.00
       m_break[0]      6.53      1.62      6.54      3.77      9.28   2394.09      1.00
         m_max[0]     71.75     18.66     74.52     42.22     99.99   1389.03      1.00
         m_min[0]      1.10      0.06      1.10      1.00      1.18   6931.68      1.00
     mix_tilt1[0]      0.52      0.28      0.53      0.11      1.00   7470.32      1.00
     mix_tilt2[0]      0.59      0.25      0.61      0.23      1.00   5988.79      1.00
       mu_chi1[0]      0.18      0.12      0.17      0.00      0.36   6203.15      1.00
       mu_chi2[0]      0.10      0.07      0.09      0.00      0.20   3401.15      1.00
      mu_peak1[0]      9.31      0.45      9.37      8.67      9.95   1263.11      1.00
      mu_peak2[0]     29.24      3.63     29.47     23.55     33.60   1033.51      1.00
peak_constant1[0]    266.86    134.12    261.38     86.69    499.99   2481.70      1.00
peak_constant2[0]    213.77    109.40    197.94     30.54    379.36   2431.97      1.00
      sig_chi1[0]      0.98      0.58      0.98      0.05      1.77   6380.54      1.00
      sig_chi2[0]      0.24      0.06      0.23      0.13      0.33   3702.17      1.00
     sig_peak1[0]      1.40      0.44      1.28      1.00      1.87   1401.96      1.00
     sig_peak2[0]      9.47      5.72      7.99      3.30     15.32    424.66      1.00
     sig_tilt1[0]      1.87      1.16      1.78      0.10      3.53   5406.42      1.00
     sig_tilt2[0]      1.33      0.91      1.04      0.11      2.83   1867.45      1.00

Number of divergences: 0
