
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
             A[0]      0.09      0.56      0.14     -0.73      1.00   4517.77      1.00
       alpha_1[0]     -4.00      0.60     -4.06     -5.00     -3.19   2750.46      1.00
       alpha_2[0]     -0.30      0.53     -0.30     -1.24      0.50   1356.64      1.00
        beta_1[0]      1.06      0.49      1.02      0.29      1.87   2856.47      1.00
        beta_2[0]      2.13      0.76      2.04      0.94      3.28   1299.09      1.00
      eta_high[0]     24.99     14.58     24.74      4.81     49.95   5214.84      1.00
       eta_low[0]     24.75     14.44     24.40      1.48     45.94   7239.93      1.00
       eta_max[0]      4.68      2.75      4.53      0.01      8.65   3920.05      1.00
       eta_min[0]     30.43     11.61     30.43     14.19     49.95   7783.01      1.00
    gamma_high[0]      6.03      1.20      6.05      4.33      7.97   5668.73      1.00
     gamma_low[0]      3.00      0.57      3.00      2.19      3.98   6710.16      1.00
         kappa[0]      0.51      1.37      0.55     -1.83      2.68   5174.09      1.00
       m_break[0]      6.55      1.65      6.53      4.04      9.57   2281.62      1.00
         m_max[0]     70.73     19.05     73.87     40.81     99.99   1332.05      1.00
         m_min[0]      1.10      0.06      1.10      1.01      1.18   5752.33      1.00
      mix_tilt[0]      0.54      0.24      0.53      0.22      0.98   3999.04      1.00
        mu_chi[0]      0.17      0.11      0.15      0.00      0.34   5540.45      1.00
      mu_peak1[0]      9.29      0.48      9.36      8.62      9.96   1273.26      1.00
      mu_peak2[0]     29.34      4.37     29.38     22.01     33.59   1167.47      1.00
peak_constant1[0]    267.69    131.90    267.73     85.05    499.27   2071.69      1.00
peak_constant2[0]    227.83    116.54    213.66     41.04    422.36   1805.83      1.00
       sig_chi[0]      0.57      0.25      0.57      0.23      0.99   4771.80      1.00
     sig_peak1[0]      1.39      0.44      1.27      1.00      1.86   1387.10      1.00
     sig_peak2[0]     10.82      6.41      9.17      3.68     18.58    598.09      1.00
      sig_tilt[0]      0.95      0.75      0.75      0.10      1.93   2188.96      1.00

Number of divergences: 0
