
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.03      0.56      0.05     -0.85      0.91   4536.04      1.00
         alpha_1[0]     -1.44      1.58     -1.21     -4.37      0.78   2439.87      1.00
         alpha_2[0]     -0.17      0.46     -0.17     -0.86      0.65   1732.21      1.00
          beta_1[0]      1.12      0.49      1.07      0.30      1.86   5105.30      1.00
          beta_2[0]      2.33      0.81      2.24      1.03      3.60   1775.44      1.00
        beta_gap[0]      0.03      2.89      0.02     -4.08      4.87   8181.08      1.00
        eta_high[0]     24.88     14.43     24.86      0.79     45.67   8850.66      1.00
         eta_low[0]     24.68     14.39     24.48      0.00     44.65   8512.71      1.00
         eta_max[0]      4.56      2.70      4.39      0.02      8.53   5584.04      1.00
         eta_min[0]     30.46     11.33     30.69     13.27     48.71   9308.66      1.00
      gamma_high[0]      6.00      1.18      5.99      4.39      7.99   6379.86      1.00
       gamma_low[0]      3.01      0.57      3.01      2.14      3.92   8318.91      1.00
           kappa[0]      0.51      1.31      0.54     -1.78      2.56   6193.43      1.00
         m_break[0]      4.86      2.31      4.27      2.00      8.54   4088.84      1.00
           m_max[0]     69.28     19.18     71.59     35.03     94.31   1411.41      1.00
           m_min[0]      1.10      0.06      1.10      1.00      1.18   8817.59      1.00
       mix_tilt1[0]      0.51      0.28      0.52      0.12      0.99   8325.61      1.00
       mix_tilt2[0]      0.58      0.25      0.60      0.23      1.00   6758.59      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.36   7549.87      1.00
         mu_chi2[0]      0.10      0.07      0.09      0.00      0.20   4584.92      1.00
        mu_peak1[0]      9.07      0.55      9.18      8.31      9.88   1530.28      1.00
        mu_peak2[0]     28.96      4.65     29.01     21.57     32.76   1037.76      1.00
      mu_peak_NS[0]      1.41      0.30      1.35      1.01      1.83   4328.40      1.00
  peak_constant1[0]    313.72    121.83    327.93    135.96    499.98   3600.06      1.00
  peak_constant2[0]    228.72    110.84    212.54     53.33    414.48   2367.66      1.00
peak_constant_NS[0]    388.88    284.05    334.01      0.42    823.20   4783.75      1.00
        sig_chi1[0]      0.98      0.58      0.97      0.05      1.79   6851.46      1.00
        sig_chi2[0]      0.24      0.06      0.24      0.14      0.34   4786.64      1.00
       sig_peak1[0]      1.60      0.58      1.45      1.00      2.32   2014.79      1.00
       sig_peak2[0]     10.55      6.78      8.68      2.90     17.58    554.44      1.00
     sig_peak_NS[0]      0.64      0.20      0.65      0.37      1.00   4650.98      1.00
       sig_tilt1[0]      1.91      1.13      1.82      0.11      3.53   8157.55      1.00
       sig_tilt2[0]      1.38      0.90      1.10      0.12      2.86   2926.52      1.00

Number of divergences: 0
