
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.04      0.56      0.05     -0.78      0.97    285.72      1.00
         alpha_1[0]     -1.50      1.46     -1.34     -4.54      0.24    219.47      1.00
         alpha_2[0]     -0.24      0.41     -0.24     -0.85      0.47    229.93      1.00
          beta_1[0]     -1.53      0.43     -1.52     -2.19     -0.82    382.74      1.00
          beta_2[0]     -0.15      2.85     -0.14     -4.41      4.22    526.89      1.00
      delta_beta[0]      5.02      2.99      5.03      0.72      9.82    642.75      1.00
        eta_high[0]     25.11     15.43     26.42      0.03     45.61    643.86      1.00
         eta_low[0]     24.85     13.65     24.46      3.22     46.38    686.48      1.00
         eta_max[0]      4.67      2.80      4.44      0.02      8.73    396.56      1.01
         eta_min[0]     30.67     11.52     30.82     14.69     49.95    649.88      1.00
      gamma_high[0]      6.02      1.13      5.94      4.44      7.90    354.49      1.00
       gamma_low[0]      3.01      0.56      3.03      2.20      3.94    694.29      1.00
           kappa[0]      0.60      1.34      0.61     -1.46      2.88    704.20      1.00
         m_break[0]      4.89      2.33      4.36      2.00      8.58    426.04      1.00
           m_max[0]     71.99     17.65     74.46     44.22     99.41    266.30      1.01
           m_min[0]      1.10      0.06      1.09      1.00      1.18    707.48      1.00
       mix_tilt1[0]      0.52      0.29      0.52      0.08      0.96    698.56      1.00
       mix_tilt2[0]      0.58      0.26      0.58      0.22      0.99    677.51      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.35    571.42      1.01
         mu_chi2[0]      0.11      0.08      0.10      0.00      0.22    330.07      1.00
        mu_peak1[0]      8.96      0.75      9.13      8.03      9.96    101.40      1.00
        mu_peak2[0]     29.39      2.31     29.80     25.74     32.79    126.54      1.00
      mu_peak_NS[0]      1.43      0.29      1.38      1.02      1.87    463.74      1.00
  peak_constant1[0]    330.23    109.64    337.98    174.88    499.36    275.14      1.00
  peak_constant2[0]    204.56     96.81    185.54     40.28    344.98    161.40      1.01
peak_constant_NS[0]    404.61    270.31    366.26      0.69    802.62    533.68      1.00
        sig_chi1[0]      1.00      0.60      0.99      0.05      1.82    523.23      1.00
        sig_chi2[0]      0.23      0.07      0.23      0.12      0.33    301.69      1.01
       sig_peak1[0]      1.74      0.67      1.53      1.00      2.67    134.66      1.00
       sig_peak2[0]      7.25      2.79      6.69      2.87     10.85    166.32      1.00
     sig_peak_NS[0]      0.66      0.20      0.66      0.39      0.99    469.16      1.01
       sig_tilt1[0]      1.87      1.10      1.82      0.11      3.50    708.45      1.00
       sig_tilt2[0]      1.26      0.84      1.00      0.11      2.62    292.84      1.00

Number of divergences: 1
