
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.03      0.57      0.05     -0.84      0.93   5044.12      1.00
         alpha_1[0]     -1.46      1.57     -1.26     -4.15      0.88   2307.15      1.00
         alpha_2[0]     -0.17      0.48     -0.17     -0.97      0.63   1232.88      1.00
          beta_1[0]      1.36      0.87      1.15      0.20      2.38    709.27      1.00
          beta_2[0]      2.30      0.94      2.17      0.79      3.81   1632.48      1.00
        eta_high[0]     25.25     14.45     25.32      4.73     49.62   7892.65      1.00
         eta_low[0]     24.71     14.32     24.68      0.90     45.67   8541.53      1.00
         eta_max[0]      4.62      2.67      4.44      0.01      8.48   5954.95      1.00
         eta_min[0]     30.51     11.39     30.85     14.51     49.92   7868.60      1.00
      gamma_high[0]      6.02      1.17      6.00      4.37      8.00   6740.44      1.00
       gamma_low[0]      3.00      0.57      2.99      2.12      3.91   7684.87      1.00
           kappa[0]      0.54      1.35      0.57     -1.73      2.67   5850.20      1.00
         m_break[0]      4.91      2.36      4.25      2.00      8.68   4219.07      1.00
           m_max[0]     69.10     19.06     71.16     35.10     93.90   1411.22      1.00
           m_min[0]      1.10      0.06      1.09      1.00      1.18   8756.91      1.00
       mix_tilt1[0]      0.52      0.29      0.53      0.11      1.00   8695.93      1.00
       mix_tilt2[0]      0.59      0.25      0.60      0.23      1.00   5507.23      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.35   7403.87      1.00
         mu_chi2[0]      0.10      0.07      0.09      0.00      0.20   4988.33      1.00
        mu_peak1[0]      9.05      0.63      9.17      8.19      9.88   1390.99      1.00
        mu_peak2[0]     29.06      4.62     29.08     22.07     33.02   1088.15      1.00
      mu_peak_NS[0]      1.41      0.29      1.35      1.01      1.85   4840.71      1.00
          mwidth[0]      1.78      2.51      0.45      0.01      5.86   1717.11      1.00
  peak_constant1[0]    314.22    123.88    329.51    133.07    500.00   3783.24      1.00
  peak_constant2[0]    223.99    111.90    206.43     44.77    408.90   2505.46      1.00
peak_constant_NS[0]    391.41    282.79    343.01      0.21    828.25   4845.60      1.00
        sig_chi1[0]      0.97      0.59      0.97      0.05      1.79   6577.56      1.00
        sig_chi2[0]      0.24      0.06      0.23      0.13      0.33   4410.32      1.00
       sig_peak1[0]      1.77      2.15      1.47      1.00      2.41    248.96      1.00
       sig_peak2[0]     10.29      6.89      8.34      2.46     17.44    546.42      1.00
     sig_peak_NS[0]      0.65      0.20      0.65      0.37      1.00   4189.92      1.00
       sig_tilt1[0]      1.91      1.15      1.82      0.10      3.57   8837.01      1.00
       sig_tilt2[0]      1.37      0.90      1.08      0.14      2.89   3080.50      1.00

Number of divergences: 0
