
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.03      0.57      0.04     -0.83      0.95   3663.87      1.00
         alpha_1[0]     -1.43      1.55     -1.26     -4.28      0.66   1523.85      1.00
         alpha_2[0]     -0.16      0.46     -0.17     -0.92      0.56   1550.90      1.00
          beta_1[0]      1.13      0.49      1.09      0.33      1.92   2861.86      1.00
          beta_2[0]      2.28      0.75      2.22      1.09      3.51   2660.43      1.00
        eta_high[0]     25.06     14.23     25.17      0.55     44.94   5645.39      1.00
         eta_low[0]     24.95     14.57     24.72      2.45     47.50   5315.09      1.00
         eta_max[0]      4.50      2.71      4.25      0.00      8.55   3169.20      1.00
         eta_min[0]     30.57     11.33     30.99     12.21     47.43   4658.30      1.00
      gamma_high[0]      6.00      1.19      5.99      4.26      7.88   3962.23      1.00
       gamma_low[0]      2.99      0.56      2.99      2.11      3.88   5267.44      1.00
           kappa[0]      0.52      1.36      0.54     -1.70      2.74   3045.66      1.00
         m_break[0]      4.89      2.32      4.27      2.00      8.60   3355.30      1.00
           m_max[0]     69.56     19.07     71.88     40.89     99.92   1454.58      1.00
           m_min[0]      1.10      0.06      1.09      1.00      1.17   5176.10      1.00
       mix_tilt1[0]      0.51      0.29      0.51      0.08      0.97   4456.35      1.00
       mix_tilt2[0]      0.58      0.25      0.60      0.22      1.00   4594.76      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.35   4422.95      1.00
         mu_chi2[0]      0.10      0.07      0.09      0.00      0.20   3527.14      1.00
        mu_peak1[0]      9.07      0.55      9.16      8.27      9.84   1603.49      1.00
        mu_peak2[0]     28.62      3.91     28.91     22.09     32.55   1535.62      1.00
      mu_peak_NS[0]      1.41      0.29      1.35      1.01      1.84   2582.58      1.00
  peak_constant1[0]    318.03    121.75    335.64    136.99    499.96   2276.24      1.00
  peak_constant2[0]    229.95    112.34    215.24     54.16    426.52   1959.26      1.00
peak_constant_NS[0]    386.77    281.30    338.07      0.34    815.56   3035.98      1.00
        sig_chi1[0]      0.99      0.58      0.99      0.05      1.80   4364.85      1.00
        sig_chi2[0]      0.24      0.06      0.24      0.13      0.33   3365.61      1.00
       sig_peak1[0]      1.60      0.56      1.47      1.00      2.27   2112.66      1.00
       sig_peak2[0]     10.22      6.29      8.52      3.25     16.50    534.00      1.00
     sig_peak_NS[0]      0.65      0.20      0.65      0.38      1.00   3495.53      1.00
       sig_tilt1[0]      1.91      1.13      1.85      0.10      3.53   4613.46      1.00
       sig_tilt2[0]      1.41      0.93      1.11      0.12      2.97   2140.43      1.00

Number of divergences: 0
