
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.02      0.57      0.04     -0.81      0.96   2912.66      1.00
         alpha_1[0]     -1.88      1.69     -1.98     -4.98      0.34   1861.11      1.00
         alpha_2[0]     -0.12      0.45     -0.13     -0.91      0.57   1270.06      1.00
          beta_1[0]      1.15      0.51      1.10      0.30      1.93   2480.25      1.00
          beta_2[0]      2.27      0.75      2.19      1.02      3.45   2043.77      1.00
        eta_high[0]     25.01     14.31     25.25      4.27     48.87   5434.10      1.00
         eta_low[0]     24.89     14.65     24.86      0.45     45.39   6563.13      1.00
         eta_max[0]      4.60      2.65      4.41      0.02      8.53   3575.38      1.00
         eta_min[0]     30.72     11.70     30.97     13.93     49.65   7075.96      1.00
      gamma_high[0]      6.03      1.16      6.03      4.41      8.00   4172.37      1.00
       gamma_low[0]      3.02      0.57      3.02      2.22      4.00   6282.62      1.00
           kappa[0]      0.51      1.32      0.55     -1.62      2.76   4680.56      1.00
           m_max[0]     68.30     19.15     70.28     35.01     93.38   1275.40      1.00
           m_min[0]      1.10      0.06      1.10      1.00      1.18   7389.60      1.00
       mix_tilt1[0]      0.51      0.28      0.52      0.10      0.99   6170.59      1.00
       mix_tilt2[0]      0.58      0.26      0.60      0.22      1.00   4310.20      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.35   4877.46      1.00
         mu_chi2[0]      0.10      0.07      0.09      0.00      0.20   3218.59      1.00
        mu_peak1[0]      8.95      0.64      9.08      8.05      9.89   1043.42      1.00
        mu_peak2[0]     28.80      4.28     28.96     22.00     32.71    758.97      1.00
      mu_peak_NS[0]      1.48      0.33      1.41      1.01      1.98   2740.96      1.00
  peak_constant1[0]    328.82    117.19    347.69    155.52    499.88   2369.70      1.00
  peak_constant2[0]    223.50    112.47    204.09     51.78    418.90   1826.14      1.00
peak_constant_NS[0]    374.17    270.16    312.55      1.51    807.77   3255.13      1.00
        sig_chi1[0]      0.98      0.58      0.98      0.05      1.80   5434.02      1.00
        sig_chi2[0]      0.24      0.07      0.24      0.13      0.34   3176.58      1.00
       sig_peak1[0]      1.73      0.66      1.56      1.00      2.56   1289.88      1.00
       sig_peak2[0]     10.53      7.00      8.48      3.15     17.20    523.04      1.00
     sig_peak_NS[0]      0.67      0.20      0.69      0.39      1.00   2610.89      1.00
       sig_tilt1[0]      1.89      1.15      1.81      0.10      3.55   5093.05      1.00
       sig_tilt2[0]      1.47      0.96      1.16      0.13      3.08   2223.12      1.00

Number of divergences: 0
