
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.48      0.47      0.64     -0.27      1.00   4091.94      1.00
         alpha_1[0]     -0.63      1.63     -0.33     -3.73      1.61   2028.94      1.00
         alpha_2[0]     -0.42      0.48     -0.41     -1.22      0.36   1337.86      1.00
          beta_1[0]      1.26      0.52      1.21      0.38      2.04   4256.27      1.00
          beta_2[0]      2.31      0.74      2.23      1.08      3.42   2090.75      1.00
        eta_high[0]     27.12     13.68     27.60      7.84     49.98   8218.30      1.00
         eta_low[0]     25.25     14.47     25.30      3.35     48.09   8939.14      1.00
         eta_max[0]      4.52      2.76      4.29      0.00      8.56   4954.34      1.00
         eta_min[0]     30.39     11.29     30.56     12.78     48.00   9468.54      1.00
      gamma_high[0]      6.38      1.12      6.59      4.64      7.99   5091.21      1.00
       gamma_low[0]      2.96      0.55      2.93      2.00      3.73   7598.32      1.00
           kappa[0]      0.54      1.34      0.58     -1.63      2.67   5559.85      1.00
         m_break[0]      5.16      2.45      4.58      2.00      8.90   2942.43      1.00
           m_max[0]     71.67     18.62     74.52     42.59     99.97   1341.37      1.00
           m_min[0]      1.10      0.06      1.10      1.02      1.19   8749.82      1.00
       mix_tilt1[0]      0.51      0.28      0.52      0.10      0.98   8316.09      1.00
       mix_tilt2[0]      0.57      0.26      0.58      0.20      1.00   6060.57      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.35   6886.12      1.00
         mu_chi2[0]      0.10      0.07      0.09      0.00      0.21   4570.80      1.00
        mu_peak1[0]      7.62      0.97      7.54      6.00      8.95   3525.81      1.00
        mu_peak2[0]     30.74      4.33     30.52     25.81     34.12    443.81      1.00
      mu_peak_NS[0]      1.34      0.26      1.29      1.01      1.70   3775.90      1.00
  peak_constant1[0]    313.29    127.31    333.79    125.32    499.99   3226.25      1.00
  peak_constant2[0]    165.76     95.74    144.95     23.87    306.84   2063.80      1.00
peak_constant_NS[0]    426.14    289.00    385.08      1.86    861.51   4814.25      1.00
        sig_chi1[0]      0.98      0.59      0.98      0.05      1.80   6758.02      1.00
        sig_chi2[0]      0.24      0.07      0.24      0.14      0.35   4686.75      1.00
       sig_peak1[0]      3.72      0.75      3.47      3.00      4.68   4545.46      1.00
       sig_peak2[0]      8.35      6.26      6.66      1.31     13.62    447.67      1.00
     sig_peak_NS[0]      0.51      0.23      0.50      0.14      0.88   3817.32      1.00
       sig_tilt1[0]      1.95      1.12      1.90      0.10      3.54   9213.31      1.00
       sig_tilt2[0]      1.51      0.96      1.21      0.12      3.09   3268.21      1.00

Number of divergences: 0
