
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.01      0.57      0.01     -0.85      0.93   3918.60      1.00
         alpha_1[0]     -2.54      1.48     -2.69     -4.98     -0.56   2687.44      1.00
         alpha_2[0]     -0.19      0.44     -0.20     -0.90      0.53   1152.89      1.00
          beta_1[0]      1.13      0.52      1.08      0.33      1.93   2489.70      1.00
          beta_2[0]      2.29      0.77      2.20      0.98      3.48   2181.66      1.00
        eta_high[0]     25.03     14.48     24.88      0.93     45.79   6564.39      1.00
         eta_low[0]     24.90     14.67     24.85      0.40     45.26   7196.04      1.00
         eta_max[0]      4.55      2.73      4.35      0.00      8.52   4083.98      1.00
         eta_min[0]     30.75     11.61     30.97     14.39     50.00   7147.28      1.00
      gamma_high[0]      6.01      1.16      5.99      4.26      7.86   5645.54      1.00
       gamma_low[0]      3.02      0.57      3.03      2.22      4.00   6310.75      1.00
           kappa[0]      0.51      1.32      0.54     -1.77      2.54   5854.32      1.00
           m_max[0]     69.50     19.11     72.06     35.01     94.24    802.20      1.00
           m_min[0]      1.10      0.06      1.10      1.00      1.18   8134.59      1.00
       mix_tilt1[0]      0.51      0.28      0.53      0.11      1.00   6672.01      1.00
       mix_tilt2[0]      0.58      0.26      0.60      0.22      1.00   5062.69      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.35   5412.93      1.00
         mu_chi2[0]      0.10      0.07      0.09      0.00      0.20   3346.90      1.00
        mu_peak1[0]      8.99      0.62      9.11      8.16      9.87   1095.46      1.00
        mu_peak2[0]     29.10      4.76     29.12     21.52     32.73    719.95      1.00
      mu_peak_NS[0]      1.53      0.34      1.49      1.01      2.03   3471.24      1.00
  peak_constant1[0]    309.95    121.65    322.45    133.46    499.86   2542.28      1.00
  peak_constant2[0]    225.82    112.88    206.73     57.07    428.11   2040.04      1.00
peak_constant_NS[0]    183.74    109.00    173.26     17.56    360.04   4186.91      1.00
        sig_chi1[0]      0.98      0.58      0.98      0.05      1.80   6135.14      1.00
        sig_chi2[0]      0.24      0.06      0.24      0.13      0.34   3607.71      1.00
       sig_peak1[0]      1.71      0.64      1.55      1.00      2.49   1462.44      1.00
       sig_peak2[0]     10.64      7.15      8.57      2.92     17.97    369.29      1.00
     sig_peak_NS[0]      0.69      0.21      0.71      0.40      1.00   3858.57      1.00
       sig_tilt1[0]      1.90      1.15      1.82      0.10      3.55   6276.66      1.00
       sig_tilt2[0]      1.45      0.95      1.15      0.11      3.04   2110.29      1.00

Number of divergences: 0
