
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.02      0.57      0.03     -0.80      0.98   3732.08      1.00
         alpha_1[0]     -1.44      1.61     -1.27     -4.38      0.89   2229.36      1.00
         alpha_2[0]     -0.18      0.49     -0.20     -1.01      0.60   1807.57      1.00
          beta_1[0]      1.12      0.48      1.07      0.34      1.85   4078.00      1.00
          beta_2[0]      2.16      0.75      2.08      0.93      3.30   1651.93      1.00
        eta_high[0]     25.23     14.43     25.23      0.00     44.94   6315.19      1.00
         eta_low[0]     25.02     14.47     25.15      4.83     49.94   6730.97      1.00
         eta_max[0]      4.67      2.64      4.53      0.00      8.50   4112.89      1.00
         eta_min[0]     30.61     11.49     30.75     14.28     49.81   6827.61      1.00
      gamma_high[0]      6.00      1.16      6.00      4.41      7.98   5010.34      1.00
       gamma_low[0]      3.00      0.56      2.99      2.22      4.00   6755.58      1.00
           kappa[0]      0.51      1.29      0.52     -1.61      2.63   6091.30      1.00
         m_break[0]      4.83      2.30      4.18      2.00      8.49   3598.50      1.00
           m_max[0]     68.86     19.50     71.13     35.04     94.37   2033.97      1.00
           m_min[0]      1.10      0.06      1.09      1.00      1.18   6578.82      1.00
        mix_tilt[0]      0.54      0.24      0.53      0.22      0.99   4398.78      1.00
          mu_chi[0]      0.17      0.11      0.16      0.00      0.34   4944.36      1.00
        mu_peak1[0]      9.05      0.60      9.17      8.25      9.86    776.20      1.00
        mu_peak2[0]     28.83      4.86     28.82     20.83     32.70   1424.24      1.00
      mu_peak_NS[0]      1.41      0.30      1.34      1.01      1.85   3595.67      1.00
  peak_constant1[0]    313.26    123.06    328.10    130.90    499.90   3164.18      1.00
  peak_constant2[0]    240.02    117.19    228.26     42.99    430.41   3220.43      1.00
peak_constant_NS[0]    387.29    288.29    328.75      0.19    838.33   4812.19      1.00
         sig_chi[0]      0.58      0.25      0.58      0.21      0.97   5278.88      1.00
       sig_peak1[0]      1.60      0.59      1.43      1.00      2.30   1082.95      1.00
       sig_peak2[0]     11.47      6.72      9.62      3.32     19.61    839.09      1.00
     sig_peak_NS[0]      0.64      0.20      0.65      0.37      1.00   3416.41      1.00
        sig_tilt[0]      1.04      0.82      0.81      0.10      2.19   2181.18      1.00

Number of divergences: 0
