
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
         A[0]      0.78      0.19      0.83      0.53      1.00    792.43      1.00
   alpha_1[0]     -2.16      0.88     -1.99     -3.84     -1.00    601.43      1.00
   alpha_2[0]     -1.51      0.24     -1.53     -1.89     -1.11    643.72      1.00
 alpha_chi[0]      1.29      0.26      1.22      1.00      1.62   1230.81      1.00
    beta_1[0]      1.44      0.54      1.36      0.53      2.26    951.99      1.00
    beta_2[0]      2.90      0.83      2.83      1.60      4.34    509.44      1.00
  beta_chi[0]      3.82      0.71      3.86      2.83      4.95    914.18      1.00
  eta_high[0]     28.87     12.82     29.58     10.26     49.43   1210.30      1.00
   eta_low[0]     25.74     13.72     25.75      3.70     45.74   1234.04      1.00
   eta_max[0]      5.46      1.80      5.27      2.65      8.63    879.24      1.00
   eta_min[0]     30.10     11.87     29.87     13.64     50.00   1317.32      1.00
gamma_high[0]      6.20      0.89      6.22      4.75      7.66   1120.23      1.00
 gamma_low[0]      2.67      0.50      2.59      2.00      3.41    979.24      1.00
     kappa[0]      0.43      1.39      0.44     -1.69      2.78    746.93      1.00
   m_break[0]      4.69      2.37      3.90      2.00      8.62    653.04      1.00
     m_max[0]     58.00     10.39     56.78     40.79     73.56    795.17      1.00
     m_min[0]      0.86      0.21      0.86      0.57      1.19   1603.65      1.00
  mix_tilt[0]      0.46      0.29      0.45      0.00      0.88   1362.33      1.00
  sig_tilt[0]      2.08      1.14      2.14      0.45      3.92   1361.92      1.00

Number of divergences: 0
