
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.04      0.59      0.05     -0.78      0.99     67.51      0.99
         alpha_1[0]     -1.66      1.42     -1.50     -3.94      0.34     63.27      1.10
         alpha_2[0]     -0.17      0.43     -0.17     -0.73      0.56    104.75      0.99
          beta_1[0]      1.04      0.44      0.98      0.33      1.80    663.44      0.99
          beta_2[0]      2.13      0.58      2.19      1.00      2.83    168.74      0.99
        eta_high[0]     24.73     14.73     22.82      5.18     48.44     85.01      1.02
         eta_low[0]     22.62     14.20     21.57      0.97     43.15     18.19      1.17
         eta_max[0]      4.69      2.75      4.48      0.11      8.42     85.32      0.99
         eta_min[0]     30.31     10.41     29.61     15.79     46.27    707.18      0.99
      gamma_high[0]      5.96      1.15      5.90      4.06      7.52     13.09      1.01
       gamma_low[0]      2.96      0.63      2.94      2.02      3.85     23.05      1.04
           kappa[0]      0.73      1.33      0.74     -1.90      2.52    140.01      0.99
         m_break[0]      4.77      2.43      3.82      2.07      9.18     43.17      1.06
           m_max[0]     71.35     17.21     73.25     42.55     98.30     84.75      0.99
           m_min[0]      1.10      0.05      1.11      1.02      1.18     42.63      1.00
       mix_tilt1[0]      0.54      0.27      0.56      0.09      0.95     37.45      0.99
       mix_tilt2[0]      0.58      0.28      0.61      0.14      1.00     21.95      1.01
         mu_chi1[0]      0.20      0.12      0.19      0.03      0.39     30.56      1.02
         mu_chi2[0]      0.12      0.08      0.11      0.00      0.24     18.86      1.05
        mu_peak1[0]      9.02      0.74      9.21      8.31      9.89     20.99      1.02
        mu_peak2[0]     28.31      2.88     28.87     23.10     31.91    138.02      1.00
      mu_peak_NS[0]      1.39      0.29      1.29      1.03      1.86     52.32      1.03
  peak_constant1[0]    327.40    106.95    343.77    173.09    499.80    119.85      0.99
  peak_constant2[0]    219.00     98.47    207.63     77.23    366.76     84.86      0.99
peak_constant_NS[0]    369.15    295.35    273.04      0.64    820.38     54.06      1.00
        sig_chi1[0]      1.06      0.54      1.04      0.32      1.98     45.61      1.09
        sig_chi2[0]      0.23      0.08      0.22      0.14      0.35     22.32      1.06
       sig_peak1[0]      1.69      0.67      1.52      1.01      2.67     21.20      1.05
       sig_peak2[0]      8.69      3.54      7.92      4.16     14.08     69.21      0.99
     sig_peak_NS[0]      0.66      0.19      0.65      0.40      1.00     39.97      1.01
       sig_tilt1[0]      2.12      1.23      2.06      0.36      3.81     55.00      1.06
       sig_tilt2[0]      1.48      0.85      1.21      0.41      3.14      4.68      1.39

Number of divergences: 0
