
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
             A[0]      0.16      0.56      0.23     -0.69      0.97    284.37      0.99
       alpha_1[0]     -3.99      0.64     -4.05     -4.98     -3.21    102.76      0.99
       alpha_2[0]     -0.22      0.53     -0.25     -1.05      0.56     50.17      0.99
        beta_1[0]      1.08      0.48      1.02      0.42      1.71     90.21      1.01
        beta_2[0]      2.56      0.91      2.43      1.33      4.24     37.61      0.99
      eta_high[0]     21.82     15.20     20.11      0.23     44.34     84.57      1.07
       eta_low[0]     25.51     13.73     25.09      5.83     46.35     54.59      0.99
       eta_max[0]      4.76      3.06      4.96      0.73      9.34    172.45      0.99
       eta_min[0]     32.28     10.75     31.52     18.36     49.89     57.63      0.99
    gamma_high[0]      6.17      1.11      6.17      4.51      7.94    190.60      0.99
     gamma_low[0]      2.91      0.58      2.88      2.10      3.76     58.89      0.99
         kappa[0]      0.53      1.42      0.82     -2.20      2.35    130.28      0.99
       m_break[0]      6.51      1.60      6.34      3.81      8.98     52.17      1.00
         m_max[0]     69.79     19.23     70.70     38.29     96.71     61.40      0.99
         m_min[0]      1.11      0.06      1.11      1.02      1.20    137.31      0.99
     mix_tilt1[0]      0.53      0.25      0.56      0.08      0.87    138.06      0.99
     mix_tilt2[0]      0.58      0.27      0.59      0.21      0.99    131.95      0.99
       mu_chi1[0]      0.19      0.13      0.19      0.01      0.38     79.10      0.99
       mu_chi2[0]      0.10      0.08      0.09      0.00      0.21     70.46      1.01
      mu_peak1[0]      9.21      0.48      9.26      8.48      9.85     67.21      0.99
      mu_peak2[0]     29.19      5.65     28.95     21.95     32.70     60.88      1.00
peak_constant1[0]    281.46    123.01    276.83    103.55    496.20     90.47      0.99
peak_constant2[0]    241.12    113.69    242.21     56.17    413.27     97.75      0.99
      sig_chi1[0]      0.95      0.58      0.89      0.20      1.97     87.60      1.00
      sig_chi2[0]      0.24      0.06      0.24      0.15      0.33     86.27      0.99
     sig_peak1[0]      1.43      0.46      1.30      1.01      1.94    104.83      0.99
     sig_peak2[0]     11.39      7.40      9.80      3.89     21.17     22.36      0.99
     sig_tilt1[0]      1.86      1.14      1.70      0.23      3.62    224.01      0.99
     sig_tilt2[0]      1.36      0.93      1.19      0.10      2.77     39.21      1.02

Number of divergences: 0
