
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
             A[0]      0.07      0.60      0.09     -0.87      0.92     98.70      1.00
       alpha_1[0]     -3.94      0.64     -4.09     -4.99     -3.21     70.40      0.99
       alpha_2[0]     -0.33      0.48     -0.32     -1.19      0.32     57.64      1.00
        beta_1[0]      0.99      0.48      0.93      0.24      1.63    122.23      1.00
        beta_2[0]      2.24      0.75      2.17      1.13      3.57    122.98      0.99
      beta_gap[0]     -0.16      2.89     -0.06     -4.68      3.91    151.20      1.00
      eta_high[0]     26.06     12.98     27.48      5.54     45.30    313.71      1.00
       eta_low[0]     25.21     15.26     25.64      1.91     48.06     82.76      1.00
       eta_max[0]      4.50      2.62      4.46      0.45      8.62     99.97      1.01
       eta_min[0]     30.77     13.05     29.45     13.71     49.81    119.52      0.99
    gamma_high[0]      6.15      1.28      6.10      4.29      7.99     33.61      1.00
     gamma_low[0]      3.00      0.58      2.95      2.24      3.96    144.24      0.99
         kappa[0]      0.56      1.20      0.54     -1.09      2.66    210.23      0.99
       m_break[0]      6.53      1.53      6.40      4.64      9.68    142.95      0.99
         m_max[0]     71.33     17.50     70.37     44.66     98.89    127.27      0.99
         m_min[0]      1.10      0.06      1.10      1.01      1.18     70.97      1.01
     mix_tilt1[0]      0.57      0.29      0.59      0.08      0.96    117.59      1.02
     mix_tilt2[0]      0.59      0.25      0.62      0.18      1.00    153.95      1.00
       mu_chi1[0]      0.18      0.12      0.16      0.00      0.37     57.54      1.00
       mu_chi2[0]      0.10      0.06      0.09      0.00      0.18     59.71      0.99
      mu_peak1[0]      9.26      0.57      9.32      8.61      9.93     29.01      1.06
      mu_peak2[0]     28.87      3.08     29.46     24.23     32.55     86.00      0.99
peak_constant1[0]    266.07    127.31    254.11     94.09    485.61     72.90      1.01
peak_constant2[0]    211.10    101.34    193.83     57.83    381.51     59.35      0.99
      sig_chi1[0]      0.88      0.56      0.83      0.05      1.67    135.26      0.99
      sig_chi2[0]      0.23      0.07      0.21      0.14      0.34     77.67      0.99
     sig_peak1[0]      1.42      0.57      1.22      1.01      1.87     24.27      1.03
     sig_peak2[0]      9.07      5.16      7.92      4.39     13.04     51.65      1.02
     sig_tilt1[0]      1.73      1.19      1.56      0.14      3.44     72.89      0.99
     sig_tilt2[0]      1.34      0.89      1.10      0.25      2.85     68.74      0.99

Number of divergences: 0
