
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.03      0.55      0.06     -0.85      0.86    590.53      1.00
         alpha_1[0]     -1.45      1.63     -1.25     -4.38      0.51    225.98      1.00
         alpha_2[0]     -0.17      0.50     -0.17     -1.02      0.61    209.81      1.00
          beta_1[0]      1.12      0.48      1.06      0.32      1.80    419.20      1.00
          beta_2[0]      2.23      0.76      2.09      1.02      3.39    297.49      1.00
        beta_gap[0]      0.08      2.94      0.10     -4.71      4.30    641.65      1.00
        eta_high[0]     25.51     14.72     25.78      1.61     45.91    546.60      1.00
         eta_low[0]     24.94     13.63     24.90      3.57     45.77    692.23      1.00
         eta_max[0]      4.41      2.63      4.26      0.00      8.44    408.15      1.01
         eta_min[0]     30.42     11.53     30.12     14.50     49.99    494.96      1.00
      gamma_high[0]      6.03      1.20      6.04      4.30      7.91    592.04      1.00
       gamma_low[0]      3.03      0.56      3.04      2.27      4.00    517.59      1.00
           kappa[0]      0.62      1.40      0.65     -1.64      2.87    387.57      1.00
         m_break[0]      4.84      2.37      4.25      2.01      8.66    304.70      1.00
           m_max[0]     69.95     19.22     71.65     39.04     98.84    178.77      1.00
           m_min[0]      1.10      0.06      1.09      1.02      1.20    659.04      1.00
       mix_tilt1[0]      0.52      0.29      0.53      0.07      0.93    460.10      1.00
       mix_tilt2[0]      0.57      0.24      0.57      0.23      0.97    642.31      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.36    448.08      1.00
         mu_chi2[0]      0.11      0.07      0.10      0.00      0.20    367.48      1.00
        mu_peak1[0]      9.04      0.59      9.15      8.23      9.98    322.55      1.00
        mu_peak2[0]     28.60      3.80     28.98     22.78     32.97    101.60      1.00
      mu_peak_NS[0]      1.44      0.29      1.37      1.01      1.86    353.30      1.00
  peak_constant1[0]    318.77    126.98    343.67    133.96    499.20    239.90      1.00
  peak_constant2[0]    216.86    111.12    197.98     37.69    394.51    193.35      1.01
peak_constant_NS[0]    394.28    279.25    341.67      0.13    842.86    358.53      1.00
        sig_chi1[0]      1.03      0.59      1.04      0.05      1.85    405.16      1.00
        sig_chi2[0]      0.23      0.06      0.23      0.13      0.33    528.62      1.00
       sig_peak1[0]      1.63      0.60      1.47      1.00      2.35    241.11      1.00
       sig_peak2[0]      9.41      5.03      8.45      3.35     14.72     57.46      1.03
     sig_peak_NS[0]      0.64      0.19      0.64      0.36      0.99    407.97      1.00
       sig_tilt1[0]      1.86      1.16      1.80      0.11      3.54    522.08      1.00
       sig_tilt2[0]      1.42      0.94      1.10      0.26      3.00    244.09      1.01

Number of divergences: 0
