
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
         A[0]      0.79      0.17      0.84      0.55      1.00    358.67      1.00
   alpha_1[0]     -1.82      0.80     -1.70     -3.28     -0.78    353.17      1.00
   alpha_2[0]     -1.53      0.21     -1.53     -1.86     -1.20    346.83      1.00
    beta_1[0]      1.38      0.55      1.29      0.48      2.20    263.29      1.00
    beta_2[0]      2.93      0.82      2.91      1.64      4.34    219.59      1.00
  eta_high[0]     30.31     12.20     31.26     13.08     49.94    481.25      1.00
   eta_low[0]     25.44     14.42     23.65      5.63     49.48    523.45      1.00
   eta_max[0]      5.72      1.81      5.56      2.80      8.60    340.47      1.00
   eta_min[0]     29.56     11.56     29.27     10.23     46.16    605.93      1.00
gamma_high[0]      6.25      0.86      6.28      4.86      7.62    520.72      1.00
 gamma_low[0]      2.63      0.47      2.56      2.00      3.33    405.57      1.00
     kappa[0]      0.40      1.21      0.42     -1.53      2.32    382.88      1.00
   m_break[0]      4.93      2.31      4.29      2.01      8.52    363.10      1.00
     m_max[0]     58.66      9.29     57.82     43.53     71.77    425.25      1.00
     m_min[0]      0.85      0.20      0.84      0.53      1.15    525.44      1.00
 mix_tilt1[0]      0.52      0.28      0.53      0.11      1.00    521.15      1.00
 mix_tilt2[0]      0.55      0.26      0.55      0.17      1.00    799.14      1.00
   mu_chi1[0]      0.14      0.11      0.11      0.00      0.31    418.63      1.00
   mu_chi2[0]      0.10      0.07      0.09      0.00      0.20    578.03      1.00
  sig_chi1[0]      0.25      0.13      0.23      0.05      0.45    590.08      1.00
  sig_chi2[0]      0.26      0.06      0.25      0.15      0.35    694.28      1.00
 sig_tilt1[0]      1.85      1.16      1.71      0.12      3.51    563.68      1.00
 sig_tilt2[0]      1.68      0.93      1.39      0.40      3.38    185.05      1.04

Number of divergences: 0
