
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]     -0.02      0.55      0.00     -0.96      0.75    526.96      1.00
         alpha_1[0]     -1.47      1.52     -1.30     -4.07      0.55    297.65      1.00
         alpha_2[0]     -0.09      0.48     -0.11     -0.86      0.65    119.14      1.02
          beta_1[0]      1.11      0.48      1.07      0.30      1.76    589.91      1.00
          beta_2[0]      2.37      0.79      2.24      1.09      3.67    232.08      1.01
        eta_high[0]     24.93     14.48     24.04      3.87     48.59    977.96      1.00
         eta_low[0]     25.16     14.53     24.65      5.13     49.86    944.87      1.00
         eta_max[0]      4.58      2.62      4.34      0.09      8.41    506.18      1.00
         eta_min[0]     30.08     11.23     30.42     13.65     48.42    895.40      1.00
      gamma_high[0]      5.94      1.09      5.88      4.17      7.55    716.43      1.00
       gamma_low[0]      2.98      0.60      2.99      2.00      3.82    803.95      1.00
           kappa[0]      0.53      1.33      0.55     -1.54      2.63    604.27      1.00
         m_break[0]      4.95      2.43      4.21      2.00      9.02    636.90      1.01
           m_max[0]     67.86     19.01     69.30     35.04     92.41    116.89      1.01
           m_min[0]      1.10      0.06      1.10      1.00      1.18    606.73      1.00
       mix_tilt1[0]      0.51      0.29      0.52      0.06      0.95    886.95      1.00
       mix_tilt2[0]      0.57      0.27      0.61      0.20      1.00    801.43      1.00
         mu_chi1[0]      0.14      0.12      0.10      0.00      0.33    514.34      1.00
         mu_chi2[0]      0.10      0.07      0.09      0.00      0.20    499.73      1.00
        mu_peak1[0]      9.07      0.51      9.16      8.14      9.79    226.03      1.02
        mu_peak2[0]     28.39      4.53     28.73     20.63     31.90    160.93      1.00
      mu_peak_NS[0]      1.41      0.30      1.34      1.01      1.87    510.98      1.00
  peak_constant1[0]    319.10    112.97    329.80    149.39    496.63    378.39      1.00
  peak_constant2[0]    228.08    113.99    212.06     60.67    428.71    298.12      1.00
peak_constant_NS[0]    402.69    300.69    331.83      0.04    867.48    437.76      1.00
        sig_chi1[0]      0.24      0.14      0.22      0.05      0.45    708.59      1.00
        sig_chi2[0]      0.24      0.06      0.23      0.13      0.33    429.06      1.01
       sig_peak1[0]      1.56      0.50      1.46      1.00      2.14    430.74      1.00
       sig_peak2[0]     10.94      6.70      9.25      2.37     17.77     65.65      1.05
     sig_peak_NS[0]      0.64      0.20      0.64      0.36      1.00    379.30      1.00
       sig_tilt1[0]      1.80      1.17      1.63      0.11      3.54    895.36      1.00
       sig_tilt2[0]      1.44      0.97      1.14      0.17      3.12    241.57      1.00

Number of divergences: 0
