
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.01      0.57      0.03     -1.00      0.78   3384.08      1.00
         alpha_1[0]     -1.49      1.53     -1.32     -4.32      0.63   1960.56      1.00
         alpha_2[0]     -0.17      0.44     -0.17     -0.83      0.55   1253.93      1.00
          beta_1[0]      1.06      0.48      1.02      0.24      1.79   3293.70      1.00
          beta_2[0]      1.92      0.80      1.84      0.72      3.34   1710.71      1.00
        eta_high[0]     24.84     14.64     24.90      0.02     45.03   4896.39      1.00
         eta_low[0]     24.84     14.48     24.50      4.40     49.18   5586.01      1.00
         eta_max[0]      4.62      2.75      4.43      0.04      8.67   2867.42      1.00
         eta_min[0]     30.67     11.29     31.14     14.75     49.88   5072.50      1.00
      gamma_high[0]      6.04      1.18      6.03      4.35      7.94   3877.25      1.00
       gamma_low[0]      2.99      0.56      2.98      2.13      3.90   4921.28      1.00
           kappa[0]      0.57      1.35      0.56     -1.58      2.74   3927.31      1.00
         m_break[0]      4.85      2.29      4.25      2.00      8.44   3203.17      1.00
           m_max[0]     71.04     18.54     73.45     41.97     99.80   1018.68      1.00
           m_min[0]      1.09      0.06      1.09      1.00      1.17   5045.60      1.00
       mix_tilt1[0]      0.52      0.29      0.53      0.09      0.98   4270.90      1.00
       mix_tilt2[0]      0.59      0.24      0.61      0.26      1.00   3966.40      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.35   4089.06      1.00
         mu_chi2[0]      0.10      0.07      0.09      0.00      0.20   3095.08      1.00
        mu_peak1[0]      9.12      0.57      9.22      8.37      9.88   1166.96      1.00
        mu_peak2[0]     29.28      3.80     29.42     23.98     32.93    632.51      1.00
      mu_peak_NS[0]      1.42      0.30      1.36      1.01      1.86   3438.56      1.00
  peak_constant1[0]    329.01    117.30    348.10    153.98    499.83   2409.91      1.00
  peak_constant2[0]    220.37    101.99    205.95     48.09    381.13   2064.74      1.00
peak_constant_NS[0]    386.67    281.80    333.82      0.14    824.72   3547.78      1.00
        sig_chi1[0]      0.98      0.59      0.98      0.05      1.80   3841.58      1.00
        sig_chi2[0]      0.21      0.06      0.21      0.11      0.31   2081.22      1.00
       sig_peak1[0]      1.58      1.27      1.40      1.00      2.20    983.80      1.00
       sig_peak2[0]      8.68      5.63      7.13      3.62     13.86    311.93      1.00
     sig_peak_NS[0]      0.66      0.20      0.67      0.39      1.00   3102.62      1.00
       sig_tilt1[0]      1.88      1.13      1.81      0.10      3.51   4853.23      1.00
       sig_tilt2[0]      1.14      0.88      0.86      0.10      2.56   1734.88      1.00

Number of divergences: 1
